modality,cluster,n,outcome,rate_in_cluster,pval,qval,sig
CT_counts,0,1830,ACR,0.3185792349726776,0.570181492412021,0.570181492412021,
CT_counts,1,1,ACR,,,,
CT_counts,2,2,ACR,,,,
CT_counts,3,1,ACR,,,,
CT_counts,4,1,ACR,,,,
CT_counts,0,1830,CLAD,0.2573770491803279,0.4670073265880028,0.4670073265880028,
CT_counts,1,1,CLAD,,,,
CT_counts,2,2,CLAD,,,,
CT_counts,3,1,CLAD,,,,
CT_counts,4,1,CLAD,,,,
CT_counts,0,1830,Death,0.373224043715847,0.2956231778124754,0.2956231778124754,
CT_counts,1,1,Death,,,,
CT_counts,2,2,Death,,,,
CT_counts,3,1,Death,,,,
CT_counts,4,1,Death,,,,
